"Name","URI","Region GSS code","Period","Sales volume","Reporting period","House price index All property types","Pivotable date"
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2004-03,10102,monthly,74.14,2004-03-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2004-04,10531,monthly,81.78,2004-04-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2004-04,5809,monthly,84.94,2004-04-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2004-04,15963,monthly,76.73,2004-04-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2004-04,10496,monthly,81.6,2004-04-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2004-04,11490,monthly,78.29,2004-04-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2004-05,9563,monthly,83.64,2004-05-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2004-05,5267,monthly,87.2,2004-05-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2004-05,14450,monthly,79.44,2004-05-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2004-05,9982,monthly,83.16,2004-05-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2004-05,10747,monthly,80.35,2004-05-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2004-06,10503,monthly,85.22,2004-06-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2004-06,6201,monthly,90.85,2004-06-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2004-06,16448,monthly,81.85,2004-06-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2004-06,10830,monthly,85.82,2004-06-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2004-06,11901,monthly,82.79,2004-06-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2004-07,11266,monthly,86.96,2004-07-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2004-07,6208,monthly,93.97,2004-07-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2004-07,17383,monthly,85.18,2004-07-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2004-07,12045,monthly,87.51,2004-07-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2004-07,12740,monthly,84.41,2004-07-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2004-08,9424,monthly,88.6,2004-08-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2004-08,5153,monthly,95.34,2004-08-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2004-08,14919,monthly,86.11,2004-08-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2004-08,10316,monthly,88.85,2004-08-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2004-08,10285,monthly,86.01,2004-08-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2004-09,7945,monthly,89.24,2004-09-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2004-09,4582,monthly,94.31,2004-09-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2004-09,12596,monthly,86.57,2004-09-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2004-09,8760,monthly,88.92,2004-09-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2004-09,9273,monthly,87.07,2004-09-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2004-10,7600,monthly,89.07,2004-10-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2004-10,4650,monthly,95.77,2004-10-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2004-10,12855,monthly,87.11,2004-10-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2004-10,8606,monthly,89.63,2004-10-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2004-10,9409,monthly,86.87,2004-10-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2004-11,6881,monthly,90.16,2004-11-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2004-11,3883,monthly,93.52,2004-11-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2004-11,11333,monthly,88.19,2004-11-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2004-11,7595,monthly,89.77,2004-11-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2004-11,7995,monthly,87.26,2004-11-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2004-12,6958,monthly,89.65,2004-12-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2004-12,4199,monthly,96.89,2004-12-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2004-12,11295,monthly,88.35,2004-12-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2004-12,7816,monthly,89.93,2004-12-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2004-12,8658,monthly,88.4,2004-12-01
