"Name","URI","Region GSS code","Period","Sales volume","Reporting period","House price index All property types","Pivotable date"
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2004-07,6166,monthly,86.27,2004-07-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2004-08,13178,monthly,76.49,2004-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-08,15020,monthly,58.29,2004-08-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2004-08,19631,monthly,74.85,2004-08-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2004-08,11273,monthly,82.84,2004-08-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2004-08,4807,monthly,88.75,2004-08-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2004-09,11047,monthly,76.83,2004-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-09,13500,monthly,58.12,2004-09-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2004-09,16683,monthly,74.66,2004-09-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2004-09,9610,monthly,83.86,2004-09-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2004-09,4276,monthly,87.69,2004-09-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2004-10,10472,monthly,76.98,2004-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-10,12031,monthly,57.66,2004-10-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2004-10,15377,monthly,74.59,2004-10-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2004-10,9273,monthly,83.66,2004-10-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2004-10,4087,monthly,88.57,2004-10-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2004-11,9302,monthly,77.09,2004-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-11,10790,monthly,58.26,2004-11-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2004-11,13754,monthly,75.32,2004-11-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2004-11,8007,monthly,84.17,2004-11-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2004-11,3780,monthly,90.26,2004-11-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2004-12,9418,monthly,76.64,2004-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-12,10859,monthly,57.14,2004-12-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2004-12,13851,monthly,74.68,2004-12-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2004-12,7834,monthly,83.41,2004-12-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2004-12,3724,monthly,89.61,2004-12-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2005-01,6069,monthly,76.8,2005-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-01,8020,monthly,57.69,2005-01-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2005-01,9243,monthly,73.86,2005-01-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2005-01,5481,monthly,82.6,2005-01-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2005-01,2516,monthly,90.94,2005-01-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2005-02,6579,monthly,76.03,2005-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-02,7829,monthly,57.42,2005-02-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2005-02,9441,monthly,74.19,2005-02-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2005-02,5814,monthly,82.69,2005-02-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2005-02,2572,monthly,88.93,2005-02-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2005-03,7843,monthly,76.11,2005-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-03,9361,monthly,57.41,2005-03-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2005-03,11332,monthly,74.19,2005-03-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2005-03,6952,monthly,82.85,2005-03-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2005-03,3336,monthly,90.38,2005-03-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2005-04,9101,monthly,76.35,2005-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-04,10290,monthly,58.43,2005-04-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2005-04,13136,monthly,74.76,2005-04-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2005-04,8445,monthly,83.2,2005-04-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2005-04,3891,monthly,91.14,2005-04-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2005-05,9283,monthly,77.58,2005-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-05,10649,monthly,58.5,2005-05-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2005-05,13834,monthly,75.08,2005-05-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2005-05,8434,monthly,83.6,2005-05-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2005-05,3865,monthly,92.94,2005-05-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2005-06,10716,monthly,78.01,2005-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-06,12308,monthly,58.56,2005-06-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2005-06,16154,monthly,75.22,2005-06-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2005-06,9725,monthly,83.88,2005-06-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2005-06,4271,monthly,93.63,2005-06-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2005-07,11112,monthly,78.54,2005-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-07,13536,monthly,59.05,2005-07-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2005-07,16990,monthly,75.64,2005-07-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2005-07,10590,monthly,85.02,2005-07-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2005-07,4428,monthly,95.87,2005-07-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2005-08,11407,monthly,78.4,2005-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-08,13208,monthly,59.07,2005-08-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2005-08,16820,monthly,75.87,2005-08-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2005-08,10557,monthly,84.72,2005-08-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2005-08,4410,monthly,96.86,2005-08-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2005-09,11471,monthly,78.57,2005-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-09,13541,monthly,58.81,2005-09-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2005-09,16735,monthly,75.96,2005-09-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2005-09,10149,monthly,84.95,2005-09-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2005-09,4534,monthly,96.44,2005-09-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2005-10,10473,monthly,78.14,2005-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-10,12382,monthly,58.16,2005-10-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2005-10,15508,monthly,75.26,2005-10-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2005-10,9555,monthly,84.97,2005-10-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2005-10,4249,monthly,96.59,2005-10-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2005-11,10896,monthly,78.06,2005-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-11,12568,monthly,58.72,2005-11-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2005-11,16303,monthly,75.73,2005-11-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2005-11,10095,monthly,84.92,2005-11-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2005-11,4383,monthly,96.09,2005-11-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2005-12,12492,monthly,78.64,2005-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-12,13144,monthly,59.17,2005-12-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2005-12,18119,monthly,75.81,2005-12-01
